true	predicted
Джон Картер (фильм)	Подземный переход (мультфильм)
Дюна (фильм, 1984)	Подземный переход (мультфильм)
Лара Крофт: Расхитительница гробниц (фильм)	Тайна одной крепости (фильм)
Джон Картер (фильм)	Тайна одной крепости (фильм)
Дюна (фильм, 1984)	Тайна одной крепости (фильм)
Лара Крофт: Расхитительница гробниц (фильм)	Фантазм 4: Забвение
Джон Картер (фильм)	Фантазм 4: Забвение
Дюна (фильм, 1984)	Фантазм 4: Забвение
Лара Крофт: Расхитительница гробниц (фильм)	Фантазм 5: Уничтожитель
Джон Картер (фильм)	Фантазм 5: Уничтожитель
Дюна (фильм, 1984)	Фантазм 5: Уничтожитель
Лара Крофт: Расхитительница гробниц (фильм)	Переполох в городе жаб
Джон Картер (фильм)	Переполох в городе жаб
Дюна (фильм, 1984)	Переполох в городе жаб
Лара Крофт: Расхитительница гробниц (фильм)	Когда на Земле царили динозавры
Джон Картер (фильм)	Когда на Земле царили динозавры
Дюна (фильм, 1984)	Когда на Земле царили динозавры
Лара Крофт: Расхитительница гробниц (фильм)	Выживающие Берега скелетов
Джон Картер (фильм)	Выживающие Берега скелетов
Дюна (фильм, 1984)	Выживающие Берега скелетов
Лара Крофт: Расхитительница гробниц (фильм)	Ночные движения
Джон Картер (фильм)	Ночные движения
Дюна (фильм, 1984)	Ночные движения
Лара Крофт: Расхитительница гробниц (фильм)	Поле битвы: Земля (фильм)
Джон Картер (фильм)	Поле битвы: Земля (фильм)
Дюна (фильм, 1984)	Поле битвы: Земля (фильм)
Лара Крофт: Расхитительница гробниц (фильм)	Kiss Meets the Phantom of the Park
Джон Картер (фильм)	Kiss Meets the Phantom of the Park
Дюна (фильм, 1984)	Kiss Meets the Phantom of the Park
Кто подставил кролика Роджера	Человек, который смеется (фильм, 2012)
Кто подставил кролика Роджера	Сердце-обличитель (мультфильм)
Кто подставил кролика Роджера	Аллея кошмаров (фильм, 2021)
Кто подставил кролика Роджера	Бланкмэн
Кто подставил кролика Роджера	Мёртвая тишина
Кто подставил кролика Роджера	По следам монстра-сельдерея
Кто подставил кролика Роджера	Ужас подземелья
Кто подставил кролика Роджера	Агрессивные дамочки
Кто подставил кролика Роджера	Скуби-Ду! Искусство борьбы
Кто подставил кролика Роджера	Город героев
Время (фильм, 2011)	Гость (фильм, 1995)
Время (фильм, 2011)	ЭйДжей и королева
Время (фильм, 2011)	Куда идти хорошему человеку
Время (фильм, 2011)	Посылка (фильм, 2011)
Время (фильм, 2011)	Пойманный в раю
Время (фильм, 2011)	Вышибалы (фильм, 2001)
Время (фильм, 2011)	Ставки на завтра
Время (фильм, 2011)	Неуловимый (фильм, 2005)
Время (фильм, 2011)	Три беглеца
Время (фильм, 2011)	Мираж (фильм, 1991)
Охота на асфальте	Волна преступности (фильм, 1954)
Трио (фильм)	Волна преступности (фильм, 1954)
Охота на асфальте	Форсаж (фильм, 2001, США)
Трио (фильм)	Форсаж (фильм, 2001, США)
Охота на асфальте	Дерево Джошуа
Трио (фильм)	Дерево Джошуа
Охота на асфальте	Трио (фильм)
Охота на асфальте	Пари (фильм, 1974)
Трио (фильм)	Пари (фильм, 1974)
Охота на асфальте	Человек, который умер дважды
Трио (фильм)	Человек, который умер дважды
Охота на асфальте	Летучий отряд Скотланд-Ярда (фильм, 2012)
Трио (фильм)	Летучий отряд Скотланд-Ярда (фильм, 2012)
Охота на асфальте	Грабители (фильм, 1896)
Трио (фильм)	Грабители (фильм, 1896)
Охота на асфальте	Морской патруль (телесериал)
Трио (фильм)	Морской патруль (телесериал)
Охота на асфальте	Весёлые истории про ворованные вещи
Трио (фильм)	Весёлые истории про ворованные вещи
Генсбур. Любовь хулигана	Полицейский, повар и медь
Генсбур. Любовь хулигана	Бунюэль и стол царя Соломона
Генсбур. Любовь хулигана	Тоска (фильм-опера, 1976)
Генсбур. Любовь хулигана	Тоска (фильм-опера, 1956)
Генсбур. Любовь хулигана	Тоска (фильм-опера, 2001)
Генсбур. Любовь хулигана	Отец королевы
Генсбур. Любовь хулигана	Горбун из Нотр-Дама (фильм, 1997)
Генсбур. Любовь хулигана	Алые паруса (фильм, 2001)
Генсбур. Любовь хулигана	Маркитта
Благослови зверей и детей	Наездник
Благослови зверей и детей	Пираньи 3DD
Благослови зверей и детей	Неуловимые мстители
Благослови зверей и детей	Шопинг (фильм)
Благослови зверей и детей	Ветреная река
Благослови зверей и детей	Кошмар зомби
Благослови зверей и детей	Я всегда буду знать, что вы сделали прошлым летом
Благослови зверей и детей	Ванька и «Мститель»
Благослови зверей и детей	Джиперс Криперс 3
Благослови зверей и детей	У крутого яра
Крупная рыба	Зеркала 2
Крупная рыба	Я обвиняю (фильм)
Крупная рыба	Некромантик 2
Крупная рыба	Не смотри вниз
Крупная рыба	Порождённый
Крупная рыба	Страх.com
Крупная рыба	Блуждающий огонёк
Крупная рыба	Город призраков (фильм, 2008)
Крупная рыба	Воспоминания (фильм, 2013)
Крупная рыба	Страшилы
Киносвидание	Звезда-80
Киносвидание	Фрэнсис (фильм)
Киносвидание	Элитное общество
Киносвидание	Души на продажу
Киносвидание	Пурпурная роза Каира
Киносвидание	Ампир (фильм)
Киносвидание	Это моя жизнь (фильм)
Киносвидание	Райские холмы
Киносвидание	Смешная девчонка
Киносвидание	Статистка
Заложник (фильм, 2005)	Что у Сеньки было
Заложник (фильм, 2005)	Хроника (фильм)
Заложник (фильм, 2005)	Иные (фильм, 2018)
Заложник (фильм, 2005)	Кровь луны
Заложник (фильм, 2005)	Правда (фильм, 2003)
Заложник (фильм, 2005)	Семья Уиллоби
Заложник (фильм, 2005)	Праздник ожидания праздника
Заложник (фильм, 2005)	Жизнь, как она есть
Заложник (фильм, 2005)	Вишнёвый переулок (фильм)
Заложник (фильм, 2005)	Впусти меня (фильм, 2008)
Глюки (фильм)	Плёнка (фильм)
Глюки (фильм)	Человеческая многоножка 2
Глюки (фильм)	Банда Ольсена
Глюки (фильм)	Переполох (фильм, 1998)
Глюки (фильм)	Ze фильм
Глюки (фильм)	Насмотревшись детективов
Глюки (фильм)	Лоботрясы
Глюки (фильм)	Покидая Лас-Вегас
Глюки (фильм)	Самый лучший фильм 2
Дневники вампира (телесериал)	Грешники
Дневники вампира (телесериал)	Хэллоуин 3: Сезон ведьм
Дневники вампира (телесериал)	Воспоминания (фильм, 2013)
Дневники вампира (телесериал)	Фантазм 4: Забвение
Дневники вампира (телесериал)	Сердце-обличитель (мультфильм)
Дневники вампира (телесериал)	Неприятности с Гарри
Дневники вампира (телесериал)	Первобытное зло
Дневники вампира (телесериал)	8 миллиметров
Дневники вампира (телесериал)	Семья вурдалаков
Дневники вампира (телесериал)	Ничего страшного
Реальная любовь	Очень хорошие девочки
Реальная любовь	Хочу тебе сказать…
Реальная любовь	Просто секс?
Реальная любовь	Женская пьеса
Реальная любовь	Новая норма
Реальная любовь	В мире грёз и фантазий
Реальная любовь	Мальчик в девочке
Реальная любовь	Уитни (телесериал)
Реальная любовь	Время (фильм, 2006)
Реальная любовь	Мистер идеал
Венди Ву: Королева в бою	Мой любимый учитель
Венди Ву: Королева в бою	Все оттенки Токио
Венди Ву: Королева в бою	Очень плохая училка
Венди Ву: Королева в бою	Скуби-Ду и Школа вампиров
Венди Ву: Королева в бою	Капля в море
Венди Ву: Королева в бою	"I""s"
Венди Ву: Королева в бою	Love Live!
Венди Ву: Королева в бою	Чучело (фильм)
Венди Ву: Королева в бою	Ever After High
Венди Ву: Королева в бою	Забавы молодых
Музей восковых фигур (фильм)	О, Дримлэнд
Музей восковых фигур 2: Затерянные во времени	О, Дримлэнд
Музей восковых фигур (фильм)	Шкатулка дьявола
Музей восковых фигур 2: Затерянные во времени	Шкатулка дьявола
Музей восковых фигур (фильм)	Восставший из ада 3: Ад на земле
Музей восковых фигур 2: Затерянные во времени	Восставший из ада 3: Ад на земле
Музей восковых фигур 2: Затерянные во времени	Музей восковых фигур (фильм)
Музей восковых фигур (фильм)	Восстание мумии
Музей восковых фигур 2: Затерянные во времени	Восстание мумии
Музей восковых фигур (фильм)	Восставший из ада 8: Мир ада
Музей восковых фигур 2: Затерянные во времени	Восставший из ада 8: Мир ада
Музей восковых фигур (фильм)	Азирис Нуна
Музей восковых фигур 2: Затерянные во времени	Азирис Нуна
Музей восковых фигур (фильм)	Вечера на хуторе близ Диканьки (фильм, 1983)
Музей восковых фигур 2: Затерянные во времени	Вечера на хуторе близ Диканьки (фильм, 1983)
Музей восковых фигур (фильм)	Золотой ключик (фильм, 1939)
Музей восковых фигур 2: Затерянные во времени	Золотой ключик (фильм, 1939)
Музей восковых фигур (фильм)	Охотники за древностями
Музей восковых фигур 2: Затерянные во времени	Охотники за древностями
Слишком крута для тебя	Плёнка (фильм)
Элизабеттаун (фильм)	Плёнка (фильм)
Слишком крута для тебя	Карниз для штор
Элизабеттаун (фильм)	Карниз для штор
Слишком крута для тебя	Сладкоголосая птица юности (фильм, 1989)
Элизабеттаун (фильм)	Сладкоголосая птица юности (фильм, 1989)
Слишком крута для тебя	Любовь — это дьявол. Штрихи к портрету Ф. Бэкона
Элизабеттаун (фильм)	Любовь — это дьявол. Штрихи к портрету Ф. Бэкона
Слишком крута для тебя	Лихорадка субботнего вечера
Элизабеттаун (фильм)	Лихорадка субботнего вечера
Слишком крута для тебя	Быть Стэнли Кубриком
Элизабеттаун (фильм)	Быть Стэнли Кубриком
Слишком крута для тебя	Венера (фильм)
Элизабеттаун (фильм)	Венера (фильм)
Слишком крута для тебя	Обед нагишом (фильм)
Элизабеттаун (фильм)	Обед нагишом (фильм)
Слишком крута для тебя	Съешь документ
Элизабеттаун (фильм)	Съешь документ
Слишком крута для тебя	Странная история (фильм, 1960)
Элизабеттаун (фильм)	Странная история (фильм, 1960)
Руины (фильм)	Хиллсайдские каннибалы
Руины (фильм)	Обречённость (фильм)
Руины (фильм)	На берегу реки
Руины (фильм)	Девичник и тварь из ада
Руины (фильм)	Blood-C
Руины (фильм)	Лихорадка (фильм, 2002)
Руины (фильм)	Большое приключение
Руины (фильм)	Ангел-подросток (телесериал, 1989)
Руины (фильм)	Потерянные (телесериал)
Руины (фильм)	Благослови зверей и детей
«Весёлые» каникулы	Косяковое безумие
«Весёлые» каникулы	9,99$
«Весёлые» каникулы	Однажды в Америке
«Весёлые» каникулы	Форрест Гамп
«Весёлые» каникулы	Дым (фильм)
«Весёлые» каникулы	Любовь и смерть (фильм, 1975)
«Весёлые» каникулы	Банда Ольсена
«Весёлые» каникулы	Бьютифул
«Весёлые» каникулы	Табачная дорога (фильм)
«Весёлые» каникулы	Jerky Turkey
Ночные воины: Охотники на вампиров	На плечо!
Ночные воины: Охотники на вампиров	Атака коммандос
Ночные воины: Охотники на вампиров	Иди и скажи спартанцам
Ночные воины: Охотники на вампиров	Сады камней (фильм)
Ночные воины: Охотники на вампиров	Крайние меры (фильм, 1988)
Ночные воины: Охотники на вампиров	Лестница Иакова (фильм, 1990)
Ночные воины: Охотники на вампиров	Железный треугольник (фильм)
Ночные воины: Охотники на вампиров	Это мой парк (фильм, 1986)
Ночные воины: Охотники на вампиров	Страна тигров
Ночные воины: Охотники на вампиров	Побег в тумане
Джек Ричер	Охота за ночным убийцей
Джек Ричер	Самый достойный (фильм)
Джек Ричер	Предпоследний
Джек Ричер	Отмщённая ложь
Джек Ричер	Тайное оружие (фильм)
Джек Ричер	Плёнки из Поукипзи
Джек Ричер	Вердикт за деньги
Джек Ричер	Насаждающий закон
Джек Ричер	Крик 2
Джек Ричер	Три амиго
Достучаться до небес (фильм)	Сторонники
Достучаться до небес (фильм)	Не смотри вниз
Достучаться до небес (фильм)	Существо в корзине 2
Достучаться до небес (фильм)	Джон Кью
Достучаться до небес (фильм)	Ангелы у кромки поля (фильм, 1994)
Достучаться до небес (фильм)	Могила светлячков
Достучаться до небес (фильм)	Бьютифул
Достучаться до небес (фильм)	Скеллиг (фильм)
Достучаться до небес (фильм)	Арья 2
Достучаться до небес (фильм)	Самый лучший
Война миров (фильм Стивена Спилберга)	Инопланетянин (фильм)
Война миров (фильм Стивена Спилберга)	Поле битвы: Земля (фильм)
Война миров (фильм Стивена Спилберга)	Я — четвёртый
Война миров (фильм Стивена Спилберга)	Мак и я
Война миров (фильм Стивена Спилберга)	Зубастики (фильм)
Война миров (фильм Стивена Спилберга)	Трансформеры: Эпоха истребления
Война миров (фильм Стивена Спилберга)	Далёкая синяя высь
Война миров (фильм Стивена Спилберга)	Переполох в городе жаб
Война миров (фильм Стивена Спилберга)	Человек-микросхема
Война миров (фильм Стивена Спилберга)	Урок (мультфильм)
Знамение (фильм)	Страна фантазий
Знамение (фильм)	Куда летишь, Витар?
Знамение (фильм)	Блуждающая Земля
Знамение (фильм)	Фантастическая четвёрка: Вторжение Серебряного сёрфера
Знамение (фильм)	Радуга (фильм, 1995)
Знамение (фильм)	Похитители ёлок (мультфильм)
Знамение (фильм)	Бегущий в лабиринте: Испытание огнём
Знамение (фильм)	Помутнение разума (фильм, 1992)
Знамение (фильм)	Гамера (фильм)
Знамение (фильм)	Капля (фильм, 1988)
Страх (фильм, 1996)	Бетховен (фильм)
Страх (фильм, 1996)	Неумойка
Страх (фильм, 1996)	Приключения малыша Гиппопо
Страх (фильм, 1996)	Котёнок по имени Гав (выпуск 5)
Страх (фильм, 1996)	Отель для собак
Страх (фильм, 1996)	История Мари и трёх щенков
Страх (фильм, 1996)	Снеговик и Снежный пёс
Страх (фильм, 1996)	Puttin’ on the Dog
Страх (фильм, 1996)	Собачья дверца (мультфильм)
Страх (фильм, 1996)	Ночная буря
Ангел-А	Бесплатная поездка
Ангел-А	Стены (фильм)
Ангел-А	Никто не знает ничего (фильм, 1947)
Ангел-А	Двое на острове слёз
Ангел-А	Бродячие ангелы
Ангел-А	Герой (фильм, 1992)
Ангел-А	Лав (фильм)
Ангел-А	Фильм (фильм)
Ангел-А	Местный стигматик
Ангел-А	Фрэнки и Джонни (фильм, 1991)
Хроника (фильм)	Зай и Чик
Хроника (фильм)	Слендер (фильм)
Хроника (фильм)	Мёртвая зона (фильм)
Хроника (фильм)	Лу (мультфильм)
Хроника (фильм)	Светлячок № 2
Хроника (фильм)	Добыча (фильм)
Хроника (фильм)	Эффект бабочки 2
Хроника (фильм)	Не шуршать!
Хроника (фильм)	Фредди мёртв. Последний кошмар
Хроника (фильм)	Закусочная на шоссе 66
Трон (фильм)	Не скажу! (мультфильм)
Трон (фильм)	Дело для начинающего палача
Трон (фильм)	Покемон 3
Трон (фильм)	Возродившийся машиной
Трон (фильм)	Байкеры (фильм, 2003)
Трон (фильм)	Робот и Фрэнк
Трон (фильм)	Путешествия пана Кляксы
Трон (фильм)	Когда опаздывают в ЗАГС…
Трон (фильм)	Мой старик
Трон (фильм)	Six God Combination Godmars
Чрезмерное насилие	Сентябрьские ночи
Чрезмерное насилие	Сингапурский Слинг (фильм)
Чрезмерное насилие	После полуночи (фильм)
Чрезмерное насилие	Пассажир дождя
Чрезмерное насилие	Дом свиданий (фильм)
Чрезмерное насилие	Убийство в женском клубе
Чрезмерное насилие	Сутенёр (фильм, 2010)
Чрезмерное насилие	Лига джентльменов
Чрезмерное насилие	Колдовство 9: Горькая плоть
Чрезмерное насилие	12 раундов: Перезагрузка
Затерянные в космосе (фильм)	Голый космос
Затерянные в космосе (фильм)	Ракета на Луну
Затерянные в космосе (фильм)	Покемон 2000
Затерянные в космосе (фильм)	Я — четвёртый
Затерянные в космосе (фильм)	Тихое место 2
Затерянные в космосе (фильм)	Тяжёлый металл (мультфильм)
Затерянные в космосе (фильм)	Второй шанс (За гранью возможного)
Затерянные в космосе (фильм)	Грань будущего
Затерянные в космосе (фильм)	Zомби каникулы
Затерянные в космосе (фильм)	Поле битвы: Земля (фильм)
Виктор/Виктория	Семнадцатилетний рубеж
Виктор/Виктория	Клуб разбитых сердец: Романтическая комедия
Виктор/Виктория	Мой друг из Фару
Виктор/Виктория	Дурная ночь
Виктор/Виктория	Фагот (фильм)
Виктор/Виктория	Лихорадка субботнего вечера
Виктор/Виктория	Китобой (фильм)
Виктор/Виктория	Сексуальное намерение
Виктор/Виктория	Дом, милый дом (телесериал)
Виктор/Виктория	Противный ребёнок
Пепел (телесериал)	Зелёный слоник
Пепел (телесериал)	Ни жив ни мёртв
Пепел (телесериал)	Пила 8
Пепел (телесериал)	Убийство на «Ждановской» (фильм)
Пепел (телесериал)	Черноморский рейд (фильм)
Пепел (телесериал)	Долгий путь в лабиринте (фильм)
Пепел (телесериал)	Ультиматум Борна
Пепел (телесериал)	Инспектор Лосев
Пепел (телесериал)	Берлинские легавые
Пепел (телесериал)	Петровка, 38 (фильм)
Скорость падения (фильм)	Во тьме (фильм, 1979)
Скорость падения (фильм)	Колыбель кошмаров
Скорость падения (фильм)	Один пропущенный звонок (фильм, 2008)
Скорость падения (фильм)	Зловещие мертвецы: Чёрная книга
Скорость падения (фильм)	Колин (фильм)
Скорость падения (фильм)	Не беспокоить (фильм, 2010)
Скорость падения (фильм)	Ирис в крови
Скорость падения (фильм)	Проводник (фильм, 2018)
Скорость падения (фильм)	Обнажённое оружие
КГБ в смокинге	Пиковая дама: Чёрный обряд
КГБ в смокинге	Светлый путь (фильм)
КГБ в смокинге	Нанако
КГБ в смокинге	Три женщины (фильм, 1977)
КГБ в смокинге	Безрассудные (фильм, 1995)
КГБ в смокинге	Santa Company
КГБ в смокинге	Там ничего нет
КГБ в смокинге	Леди играет в азартные игры
КГБ в смокинге	Ампир (фильм)
КГБ в смокинге	Maicching Machiko Sensei
Байки из склепа (фильм)	Мания (фильм)
Погребённый заживо	Мания (фильм)
Байки из склепа (фильм)	Человек с резиновой головой
Погребённый заживо	Человек с резиновой головой
Байки из склепа (фильм)	Ужас Франкенштейна
Погребённый заживо	Ужас Франкенштейна
Байки из склепа (фильм)	Безумный монстр
Погребённый заживо	Безумный монстр
Байки из склепа (фильм)	Вампир (фильм, 1957, США)
Погребённый заживо	Вампир (фильм, 1957, США)
Байки из склепа (фильм)	Мёртвые ненавидят живых
Погребённый заживо	Мёртвые ненавидят живых
Байки из склепа (фильм)	История Хэккеля
Погребённый заживо	История Хэккеля
Байки из склепа (фильм)	Профессор Зазуль
Погребённый заживо	Профессор Зазуль
Байки из склепа (фильм)	Невеста реаниматора
Погребённый заживо	Невеста реаниматора
Байки из склепа (фильм)	Теневая зона
Погребённый заживо	Теневая зона
Дом 2: Проклятая обитель	Самый страшный фильм 3D
Дом 2: Проклятая обитель	Врата тьмы
Дом 2: Проклятая обитель	Корсиканские братья (фильм, 1898)
Дом 2: Проклятая обитель	Некромантик
Дом 2: Проклятая обитель	Вампир (фильм, 1932)
Дом 2: Проклятая обитель	Параллели (фильм, 2015)
Дом 2: Проклятая обитель	Бугимен (фильм, 1982)
Дом 2: Проклятая обитель	Иногда они возвращаются… снова
Дом 2: Проклятая обитель	Следы (фильм)
Дом 2: Проклятая обитель	Положитесь на Пита
Паранойя (фильм, 2007)	Дневник моего ума
Паранойя (фильм, 2007)	Класс: Жизнь после
Паранойя (фильм, 2007)	Клинч (фильм, 2015)
Паранойя (фильм, 2007)	Мальчишка
Паранойя (фильм, 2007)	На берегу реки
Паранойя (фильм, 2007)	Авель, твой брат
Паранойя (фильм, 2007)	Умник (фильм)
Паранойя (фильм, 2007)	Если....
Паранойя (фильм, 2007)	Особо опасна
Паранойя (фильм, 2007)	Непристойное поведение (фильм, 1998)
Фобия (фильм, 2008)	Колдовская доска 2
Фобия (фильм, 2008)	Дон Маккей
Фобия (фильм, 2008)	Смертельное оружие
Фобия (фильм, 2008)	Фальстарт (фильм)
Фобия (фильм, 2008)	Дом (фильм, 1977)
Фобия (фильм, 2008)	Клют
Фобия (фильм, 2008)	Милые обманщицы (телесериал)
Фобия (фильм, 2008)	Где живёт опасность
Фобия (фильм, 2008)	Ловец снов (фильм, 2020)
Счастливы вместе (фильм, 2010)	Что случилось прошлой ночью (фильм, 1986)
Счастливы вместе (фильм, 2010)	Ночная тусовка
Счастливы вместе (фильм, 2010)	Паранойя (фильм, 2000)
Счастливы вместе (фильм, 2010)	Приглашение со вкусом смерти
Счастливы вместе (фильм, 2010)	О чём говорят мужчины
Счастливы вместе (фильм, 2010)	Доклад о девственницах
Счастливы вместе (фильм, 2010)	Облигация (фильм, 1918)
Счастливы вместе (фильм, 2010)	Часто задаваемые вопросы о путешествиях во времени
Счастливы вместе (фильм, 2010)	Четырёхликий лжец
Счастливы вместе (фильм, 2010)	Поцелуй смерти (фильм, 1977)
Чудеса в Решетове	Золушка (телемюзикл, 2002)
Чудеса в Решетове	Беглянки
Чудеса в Решетове	Принцесса-невеста
Чудеса в Решетове	Одя (фильм)
Чудеса в Решетове	Кровь моей крови (фильм)
Чудеса в Решетове	Курочка Ряба (фильм)
Чудеса в Решетове	Лафертовская маковница (мультфильм)
Чудеса в Решетове	Колыбельная (фильм, 2010)
Чудеса в Решетове	Аркадская дева
Чудеса в Решетове	Fullmetal Alchemist: The Sacred Star of Milos
Спеши любить	One Touch of Nature
Спеши любить	Гробница мумии
Спеши любить	Сердце Америки
Спеши любить	А защищал её Плевако
Спеши любить	Очень плохая училка
Спеши любить	Бродячая принцесса
Спеши любить	Цементный сад (фильм)
Спеши любить	Голос люкс
Спеши любить	Флирт (фильм, 1991)
Спеши любить	Незнакомцы: Жестокие игры
Лицензия на брак	Подружка невесты (фильм)
Лицензия на брак	Пасторальная симфония (фильм)
Лицензия на брак	Чандни
Лицензия на брак	Четырёхликий лжец
Лицензия на брак	Свадьба соек (фильм)
Лицензия на брак	Американский пирог: Свадьба
Лицензия на брак	Много шума из ничего (фильм, 1993)
Лицензия на брак	Эмма (фильм Диармайда Лоуренса)
Лицензия на брак	Анатомия любви 2
Лицензия на брак	Kyo no Gononi
Общество (фильм)	Смешарики. Начало
Общество (фильм)	Советские игрушки (фильм)
Общество (фильм)	Снежный человек (фильм)
Общество (фильм)	В лесной чаще
Общество (фильм)	Колин (фильм)
Общество (фильм)	От дождя до дождя
Общество (фильм)	Чудаки 3D
Общество (фильм)	Еноты (мультсериал)
Общество (фильм)	Ссора в Лукашах
Общество (фильм)	Папа, умер Дед Мороз
Магазинчик ужасов (фильм, 1986)	Поцелуй змея
Магазинчик ужасов (фильм, 1986)	Лулу — ангел цветов
Магазинчик ужасов (фильм, 1986)	Дед и журавль
Магазинчик ужасов (фильм, 1986)	Волшебное зерно
Магазинчик ужасов (фильм, 1986)	Дюймовочка (аниме)
Магазинчик ужасов (фильм, 1986)	Юность Бемби
Магазинчик ужасов (фильм, 1986)	Дюймовочка (фильм)
Магазинчик ужасов (фильм, 1986)	Ни богу, ни чёрту
Магазинчик ужасов (фильм, 1986)	Внеземной
Дракула (фильм, 1992)	Собор (фильм)
Дракула (фильм, 1992)	День расплаты (фильм, 2003)
Дракула (фильм, 1992)	А теперь не смотри
Дракула (фильм, 1992)	Влюблённый гробовщик
Дракула (фильм, 1992)	Горгона (фильм, 1964)
Дракула (фильм, 1992)	Пожиратель грехов (фильм)
Дракула (фильм, 1992)	Проклятие оборотня
Дракула (фильм, 1992)	Астрал 4: Последний ключ
Дракула (фильм, 1992)	Глаза моей матери
Дракула (фильм, 1992)	Призрак Оперы (фильм, 1998)
Война (фильм, 2002)	Три метра над уровнем неба
Война (фильм, 2002)	Запрещённый Христос
Война (фильм, 2002)	В той области небес…
Война (фильм, 2002)	Дружить по-русски!
Война (фильм, 2002)	Шакал (фильм)
Война (фильм, 2002)	Три товарища (фильм, 2006)
Война (фильм, 2002)	Трактир на Пятницкой
Война (фильм, 2002)	Краса жизни (фильм, 1930)
Война (фильм, 2002)	Перевозчик: Наследие
Война (фильм, 2002)	В последнюю очередь (фильм)
Живой (фильм)	Столичный сувенир
Живой (фильм)	Русский треугольник
Живой (фильм)	Русские идут! Русские идут!
Живой (фильм)	Полумгла (фильм)
Живой (фильм)	Кровь невинных младенцев
Живой (фильм)	Товарищ Абрам
Живой (фильм)	Трое суток после бессмертия
Живой (фильм)	Русская симфония
Живой (фильм)	Поиск (фильм, 2014)
Живой (фильм)	Якоб-лжец (фильм, 1999)
Разборка в Бронксе	Одиссея (телесериал, 1992)
Разборка в Бронксе	Грешники
Разборка в Бронксе	1500 шагов
Разборка в Бронксе	Оловянная игрушка
Разборка в Бронксе	Жизнь в мотеле (фильм)
Разборка в Бронксе	Лунатизм (фильм, 2005)
Разборка в Бронксе	Гости (За гранью возможного)
Разборка в Бронксе	Чужие похороны
Разборка в Бронксе	Фара (фильм)
Разборка в Бронксе	Дождись темноты
Байки из склепа (фильм)	Мужчина, который любил женщин (фильм, 1983)
Байки из склепа (фильм)	Потерянный рай (фильм, 1940)
Байки из склепа (фильм)	Последняя ферма
Байки из склепа (фильм)	Кровавый залив
Байки из склепа (фильм)	Выбор Фредерика Фитцелла
Байки из склепа (фильм)	Роман и Магда
Байки из склепа (фильм)	Железная леди (фильм)
Байки из склепа (фильм)	Гран Торино
Байки из склепа (фильм)	Роузленд (фильм)
Байки из склепа (фильм)	Дьявол (фильм, 1978)
Моя мачеха — инопланетянка	Геи-ниггеры из далёкого космоса
Где моя тачка, чувак?	Геи-ниггеры из далёкого космоса
Моя мачеха — инопланетянка	Человек-микросхема
Где моя тачка, чувак?	Человек-микросхема
Моя мачеха — инопланетянка	Далёкая синяя высь
Где моя тачка, чувак?	Далёкая синяя высь
Моя мачеха — инопланетянка	Я — четвёртый
Где моя тачка, чувак?	Я — четвёртый
Моя мачеха — инопланетянка	Небесный крестовый поход
Где моя тачка, чувак?	Небесный крестовый поход
Моя мачеха — инопланетянка	Голый космос
Где моя тачка, чувак?	Голый космос
Моя мачеха — инопланетянка	Война миров (фильм Стивена Спилберга)
Где моя тачка, чувак?	Война миров (фильм Стивена Спилберга)
Моя мачеха — инопланетянка	Планета ужасов
Где моя тачка, чувак?	Планета ужасов
Моя мачеха — инопланетянка	Во тьме (фильм, 1979)
Где моя тачка, чувак?	Во тьме (фильм, 1979)
Моя мачеха — инопланетянка	Ищу друга на конец света
Где моя тачка, чувак?	Ищу друга на конец света
Такси 3	Липучка (фильм)
Неудержимые (фильм, 2002)	Липучка (фильм)
Такси 3	Три беглеца
Неудержимые (фильм, 2002)	Три беглеца
Такси 3	Леди, о которых говорят
Неудержимые (фильм, 2002)	Леди, о которых говорят
Такси 3	Номер семнадцать
Неудержимые (фильм, 2002)	Номер семнадцать
Такси 3	Неудержимые (фильм, 2002)
Такси 3	Личный ад 36
Неудержимые (фильм, 2002)	Личный ад 36
Такси 3	Игра (телесериал, 2011)
Неудержимые (фильм, 2002)	Игра (телесериал, 2011)
Такси 3	Воры как мы (фильм)
Неудержимые (фильм, 2002)	Воры как мы (фильм)
Такси 3	Транзит (фильм, 2012)
Неудержимые (фильм, 2002)	Транзит (фильм, 2012)
Такси 3	Не пойман — не вор (фильм, 2006)
Неудержимые (фильм, 2002)	Не пойман — не вор (фильм, 2006)
Призраки в Коннектикуте	Скеллиг (фильм)
Зеркала (фильм, 2008)	Скеллиг (фильм)
Призраки в Коннектикуте	Новые большие неприятности
Зеркала (фильм, 2008)	Новые большие неприятности
Призраки в Коннектикуте	Поцелуи (фильм, 2008)
Зеркала (фильм, 2008)	Поцелуи (фильм, 2008)
Призраки в Коннектикуте	Вальс на Печоре
Зеркала (фильм, 2008)	Вальс на Печоре
Призраки в Коннектикуте	Встречайте бабушку
Зеркала (фильм, 2008)	Встречайте бабушку
Призраки в Коннектикуте	Полтергейст (фильм, 1982)
Зеркала (фильм, 2008)	Полтергейст (фильм, 1982)
Призраки в Коннектикуте	Яга. Кошмар тёмного леса
Зеркала (фильм, 2008)	Яга. Кошмар тёмного леса
Призраки в Коннектикуте	Дальше — тишина…
Зеркала (фильм, 2008)	Дальше — тишина…
Призраки в Коннектикуте	Тварь (фильм)
